ObjectId,LSOA21CD,LSOA21NM,WD22CD,WD22NM,WD22NMW,LTLA22CD,LTLA22NM,LTLA22NMW
51,E01000314,Barnet 032F,E05013649,West Hendon,,E09000003,Barnet,
52,E01000315,Barnet 022F,E05013651,Woodhouse,,E09000003,Barnet,
53,E01000316,Barnet 027E,E05013648,West Finchley,,E09000003,Barnet,
54,E01000317,Barnet 019D,E05013648,West Finchley,,E09000003,Barnet,
55,E01000318,Barnet 019E,E05013651,Woodhouse,,E09000003,Barnet,
56,E01000319,Barnet 027F,E05013648,West Finchley,,E09000003,Barnet,
57,E01000320,Barnet 011D,E05013651,Woodhouse,,E09000003,Barnet,
58,E01000321,Barnet 012E,E05013651,Woodhouse,,E09000003,Barnet,
59,E01000322,Barnet 011E,E05013651,Woodhouse,,E09000003,Barnet,
60,E01000323,Barnet 019F,E05013651,Woodhouse,,E09000003,Barnet,
61,E01000324,Barnet 015F,E05013651,Woodhouse,,E09000003,Barnet,
130,E01000213,Barnet 033F,E05013641,Garden Suburb,,E09000003,Barnet,
152,E01000214,Barnet 038E,E05013631,Childs Hill,,E09000003,Barnet,
153,E01000215,Barnet 037B,E05013642,Golders Green,,E09000003,Barnet,
154,E01000216,Barnet 035E,E05013642,Golders Green,,E09000003,Barnet,
155,E01000217,Barnet 035F,E05013642,Golders Green,,E09000003,Barnet,
156,E01000218,Barnet 037C,E05013642,Golders Green,,E09000003,Barnet,
157,E01000219,Barnet 037D,E05013642,Golders Green,,E09000003,Barnet,
158,E01000220,Barnet 037E,E05013642,Golders Green,,E09000003,Barnet,
159,E01000221,Barnet 039B,E05013634,Cricklewood,,E09000003,Barnet,
160,E01000222,Barnet 040C,E05013634,Cricklewood,,E09000003,Barnet,
161,E01000223,Barnet 039C,E05013634,Cricklewood,,E09000003,Barnet,
162,E01000224,Barnet 040D,E05013634,Cricklewood,,E09000003,Barnet,
163,E01000225,Barnet 037F,E05013642,Golders Green,,E09000003,Barnet,
164,E01000226,Barnet 018D,E05013630,Burnt Oak,,E09000003,Barnet,
165,E01000227,Barnet 018E,E05013637,Edgware,,E09000003,Barnet,
166,E01000228,Barnet 007A,E05013638,Edgwarebury,,E09000003,Barnet,
167,E01000229,Barnet 013B,E05013638,Edgwarebury,,E09000003,Barnet,
168,E01000230,Barnet 013C,E05013638,Edgwarebury,,E09000003,Barnet,
169,E01000231,Barnet 013D,E05013638,Edgwarebury,,E09000003,Barnet,
170,E01000232,Barnet 013E,E05013637,Edgware,,E09000003,Barnet,
171,E01000233,Barnet 013F,E05013637,Edgware,,E09000003,Barnet,
172,E01000234,Barnet 021D,E05013637,Edgware,,E09000003,Barnet,
173,E01000235,Barnet 021E,E05013630,Burnt Oak,,E09000003,Barnet,
174,E01000236,Barnet 034A,E05013643,Hendon,,E09000003,Barnet,
175,E01000237,Barnet 032A,E05013643,Hendon,,E09000003,Barnet,
176,E01000238,Barnet 034B,E05013643,Hendon,,E09000003,Barnet,
177,E01000239,Barnet 031A,E05013643,Hendon,,E09000003,Barnet,
178,E01000240,Barnet 031B,E05013643,Hendon,,E09000003,Barnet,
179,E01000241,Barnet 031C,E05013643,Hendon,,E09000003,Barnet,
180,E01000242,Barnet 032B,E05013643,Hendon,,E09000003,Barnet,
181,E01000243,Barnet 032C,E05013643,Hendon,,E09000003,Barnet,
182,E01000244,Barnet 032D,E05013643,Hendon,,E09000003,Barnet,
183,E01000245,Barnet 032E,E05013643,Hendon,,E09000003,Barnet,
184,E01000246,Barnet 002B,E05013628,Barnet Vale,,E09000003,Barnet,
185,E01000247,Barnet 002C,E05013628,Barnet Vale,,E09000003,Barnet,
186,E01000248,Barnet 001A,E05013644,High Barnet,,E09000003,Barnet,
187,E01000249,Barnet 001B,E05013644,High Barnet,,E09000003,Barnet,
188,E01000250,Barnet 001C,E05013644,High Barnet,,E09000003,Barnet,
189,E01000251,Barnet 002D,E05013628,Barnet Vale,,E09000003,Barnet,
190,E01000252,Barnet 002E,E05013628,Barnet Vale,,E09000003,Barnet,
191,E01000253,Barnet 007B,E05013644,High Barnet,,E09000003,Barnet,
192,E01000254,Barnet 001D,E05013644,High Barnet,,E09000003,Barnet,
193,E01000255,Barnet 017A,E05013645,Mill Hill,,E09000003,Barnet,
194,E01000256,Barnet 016A,E05013645,Mill Hill,,E09000003,Barnet,
195,E01000257,Barnet 017B,E05013646,Totteridge & Woodside,,E09000003,Barnet,
196,E01000258,Barnet 016B,E05013645,Mill Hill,,E09000003,Barnet,
197,E01000259,Barnet 025D,E05013645,Mill Hill,,E09000003,Barnet,
198,E01000260,Barnet 025E,E05013645,Mill Hill,,E09000003,Barnet,
199,E01000261,Barnet 017C,E05013645,Mill Hill,,E09000003,Barnet,
200,E01000263,Barnet 016C,E05013645,Mill Hill,,E09000003,Barnet,
201,E01000163,Barnet 022C,E05013640,Friern Barnet,,E09000003,Barnet,
202,E01000164,Barnet 022D,E05013640,Friern Barnet,,E09000003,Barnet,
203,E01000165,Barnet 022E,E05013640,Friern Barnet,,E09000003,Barnet,
204,E01000166,Barnet 003A,E05013635,East Barnet,,E09000003,Barnet,
205,E01000167,Barnet 002A,E05013635,East Barnet,,E09000003,Barnet,
206,E01000168,Barnet 003B,E05013635,East Barnet,,E09000003,Barnet,
207,E01000169,Barnet 003C,E05013635,East Barnet,,E09000003,Barnet,
208,E01000170,Barnet 006A,E05013635,East Barnet,,E09000003,Barnet,
209,E01000171,Barnet 006B,E05013635,East Barnet,,E09000003,Barnet,
210,E01000172,Barnet 003D,E05013635,East Barnet,,E09000003,Barnet,
211,E01000173,Barnet 006C,E05013635,East Barnet,,E09000003,Barnet,
212,E01000174,Barnet 006D,E05013635,East Barnet,,E09000003,Barnet,
213,E01000175,Barnet 006E,E05013635,East Barnet,,E09000003,Barnet,
214,E01000176,Barnet 027A,E05013636,East Finchley,,E09000003,Barnet,
215,E01000177,Barnet 029A,E05013636,East Finchley,,E09000003,Barnet,
216,E01000178,Barnet 027B,E05013636,East Finchley,,E09000003,Barnet,
217,E01000179,Barnet 029B,E05013636,East Finchley,,E09000003,Barnet,
218,E01000180,Barnet 029C,E05013636,East Finchley,,E09000003,Barnet,
219,E01000181,Barnet 029D,E05013636,East Finchley,,E09000003,Barnet,
220,E01000182,Barnet 029E,E05013636,East Finchley,,E09000003,Barnet,
221,E01000183,Barnet 033A,E05013636,East Finchley,,E09000003,Barnet,
222,E01000184,Barnet 027C,E05013636,East Finchley,,E09000003,Barnet,
223,E01000185,Barnet 029F,E05013636,East Finchley,,E09000003,Barnet,
224,E01000186,Barnet 014A,E05013638,Edgwarebury,,E09000003,Barnet,
225,E01000187,Barnet 014B,E05013638,Edgwarebury,,E09000003,Barnet,
226,E01000188,Barnet 014C,E05013638,Edgwarebury,,E09000003,Barnet,
227,E01000189,Barnet 014D,E05013637,Edgware,,E09000003,Barnet,
228,E01000190,Barnet 014E,E05013637,Edgware,,E09000003,Barnet,
229,E01000191,Barnet 014F,E05013637,Edgware,,E09000003,Barnet,
230,E01000192,Barnet 018A,E05013637,Edgware,,E09000003,Barnet,
231,E01000193,Barnet 018B,E05013637,Edgware,,E09000003,Barnet,
232,E01000194,Barnet 018C,E05013630,Burnt Oak,,E09000003,Barnet,
233,E01000195,Barnet 013A,E05013638,Edgwarebury,,E09000003,Barnet,
234,E01000196,Barnet 028A,E05013639,Finchley Church End,,E09000003,Barnet,
235,E01000197,Barnet 023A,E05013639,Finchley Church End,,E09000003,Barnet,
236,E01000198,Barnet 025A,E05013639,Finchley Church End,,E09000003,Barnet,
237,E01000199,Barnet 025B,E05013639,Finchley Church End,,E09000003,Barnet,
238,E01000200,Barnet 028B,E05013639,Finchley Church End,,E09000003,Barnet,
239,E01000201,Barnet 028C,E05013639,Finchley Church End,,E09000003,Barnet,
240,E01000202,Barnet 028D,E05013639,Finchley Church End,,E09000003,Barnet,
241,E01000203,Barnet 028E,E05013639,Finchley Church End,,E09000003,Barnet,
242,E01000204,Barnet 025C,E05013639,Finchley Church End,,E09000003,Barnet,
243,E01000205,Barnet 035A,E05013641,Garden Suburb,,E09000003,Barnet,
244,E01000206,Barnet 033B,E05013641,Garden Suburb,,E09000003,Barnet,
245,E01000207,Barnet 033C,E05013641,Garden Suburb,,E09000003,Barnet,
246,E01000208,Barnet 033D,E05013641,Garden Suburb,,E09000003,Barnet,
247,E01000209,Barnet 035B,E05013641,Garden Suburb,,E09000003,Barnet,
248,E01000210,Barnet 033E,E05013641,Garden Suburb,,E09000003,Barnet,
249,E01000211,Barnet 035C,E05013642,Golders Green,,E09000003,Barnet,
250,E01000212,Barnet 035D,E05013642,Golders Green,,E09000003,Barnet,
257,E01000115,Barnet 009A,E05013629,Brunswick Park,,E09000003,Barnet,
258,E01000116,Barnet 009B,E05013629,Brunswick Park,,E09000003,Barnet,
259,E01000117,Barnet 010A,E05013629,Brunswick Park,,E09000003,Barnet,
260,E01000118,Barnet 010B,E05013629,Brunswick Park,,E09000003,Barnet,
261,E01000119,Barnet 009C,E05013629,Brunswick Park,,E09000003,Barnet,
262,E01000120,Barnet 009D,E05013629,Brunswick Park,,E09000003,Barnet,
263,E01000121,Barnet 010C,E05013629,Brunswick Park,,E09000003,Barnet,
264,E01000122,Barnet 009E,E05013629,Brunswick Park,,E09000003,Barnet,
265,E01000123,Barnet 010D,E05013629,Brunswick Park,,E09000003,Barnet,
266,E01000124,Barnet 010E,E05013629,Brunswick Park,,E09000003,Barnet,
267,E01000126,Barnet 026A,E05013632,Colindale North,,E09000003,Barnet,
268,E01000127,Barnet 024B,E05013630,Burnt Oak,,E09000003,Barnet,
269,E01000128,Barnet 024C,E05013630,Burnt Oak,,E09000003,Barnet,
270,E01000129,Barnet 024D,E05013630,Burnt Oak,,E09000003,Barnet,
271,E01000130,Barnet 021A,E05013630,Burnt Oak,,E09000003,Barnet,
272,E01000131,Barnet 024E,E05013630,Burnt Oak,,E09000003,Barnet,
273,E01000132,Barnet 021B,E05013630,Burnt Oak,,E09000003,Barnet,
274,E01000133,Barnet 021C,E05013630,Burnt Oak,,E09000003,Barnet,
275,E01000134,Barnet 024F,E05013630,Burnt Oak,,E09000003,Barnet,
276,E01000135,Barnet 038A,E05013631,Childs Hill,,E09000003,Barnet,
277,E01000136,Barnet 038B,E05013631,Childs Hill,,E09000003,Barnet,
278,E01000137,Barnet 041A,E05013631,Childs Hill,,E09000003,Barnet,
279,E01000138,Barnet 040A,E05013631,Childs Hill,,E09000003,Barnet,
280,E01000139,Barnet 041B,E05013631,Childs Hill,,E09000003,Barnet,
281,E01000140,Barnet 041C,E05013631,Childs Hill,,E09000003,Barnet,
282,E01000141,Barnet 039A,E05013634,Cricklewood,,E09000003,Barnet,
283,E01000142,Barnet 040B,E05013631,Childs Hill,,E09000003,Barnet,
284,E01000143,Barnet 041D,E05013634,Cricklewood,,E09000003,Barnet,
285,E01000144,Barnet 038C,E05013631,Childs Hill,,E09000003,Barnet,
286,E01000145,Barnet 037A,E05013631,Childs Hill,,E09000003,Barnet,
287,E01000146,Barnet 038D,E05013631,Childs Hill,,E09000003,Barnet,
288,E01000147,Barnet 043F,E05013633,Colindale South,,E09000003,Barnet,
289,E01000150,Barnet 036A,E05013649,West Hendon,,E09000003,Barnet,
290,E01000151,Barnet 026B,E05013632,Colindale North,,E09000003,Barnet,
291,E01000152,Barnet 026C,E05013632,Colindale North,,E09000003,Barnet,
292,E01000153,Barnet 026D,E05013632,Colindale North,,E09000003,Barnet,
293,E01000154,Barnet 026E,E05013632,Colindale North,,E09000003,Barnet,
294,E01000156,Barnet 022A,E05013640,Friern Barnet,,E09000003,Barnet,
295,E01000157,Barnet 022B,E05013640,Friern Barnet,,E09000003,Barnet,
296,E01000158,Barnet 015A,E05013640,Friern Barnet,,E09000003,Barnet,
297,E01000159,Barnet 015B,E05013640,Friern Barnet,,E09000003,Barnet,
298,E01000160,Barnet 015C,E05013640,Friern Barnet,,E09000003,Barnet,
299,E01000161,Barnet 015D,E05013640,Friern Barnet,,E09000003,Barnet,
300,E01000162,Barnet 015E,E05013640,Friern Barnet,,E09000003,Barnet,
301,E01000264,Barnet 016D,E05013645,Mill Hill,,E09000003,Barnet,
302,E01000265,Barnet 011A,E05013640,Friern Barnet,,E09000003,Barnet,
303,E01000266,Barnet 011B,E05013650,Whetstone,,E09000003,Barnet,
304,E01000267,Barnet 005A,E05013628,Barnet Vale,,E09000003,Barnet,
305,E01000268,Barnet 005B,E05013628,Barnet Vale,,E09000003,Barnet,
306,E01000269,Barnet 005C,E05013628,Barnet Vale,,E09000003,Barnet,
307,E01000270,Barnet 005D,E05013628,Barnet Vale,,E09000003,Barnet,
308,E01000271,Barnet 008A,E05013628,Barnet Vale,,E09000003,Barnet,
309,E01000272,Barnet 008B,E05013650,Whetstone,,E09000003,Barnet,
310,E01000273,Barnet 008C,E05013650,Whetstone,,E09000003,Barnet,
311,E01000274,Barnet 011C,E05013650,Whetstone,,E09000003,Barnet,
312,E01000275,Barnet 012A,E05013646,Totteridge & Woodside,,E09000003,Barnet,
313,E01000276,Barnet 020A,E05013646,Totteridge & Woodside,,E09000003,Barnet,
314,E01000277,Barnet 012B,E05013646,Totteridge & Woodside,,E09000003,Barnet,
315,E01000278,Barnet 020B,E05013646,Totteridge & Woodside,,E09000003,Barnet,
316,E01000279,Barnet 007C,E05013646,Totteridge & Woodside,,E09000003,Barnet,
317,E01000280,Barnet 007D,E05013646,Totteridge & Woodside,,E09000003,Barnet,
318,E01000281,Barnet 008D,E05013650,Whetstone,,E09000003,Barnet,
319,E01000282,Barnet 008E,E05013650,Whetstone,,E09000003,Barnet,
320,E01000283,Barnet 012C,E05013646,Totteridge & Woodside,,E09000003,Barnet,
321,E01000284,Barnet 012D,E05013650,Whetstone,,E09000003,Barnet,
322,E01000285,Barnet 004A,E05013647,Underhill,,E09000003,Barnet,
323,E01000286,Barnet 007E,E05013644,High Barnet,,E09000003,Barnet,
324,E01000287,Barnet 004B,E05013647,Underhill,,E09000003,Barnet,
325,E01000288,Barnet 004C,E05013628,Barnet Vale,,E09000003,Barnet,
326,E01000289,Barnet 004D,E05013647,Underhill,,E09000003,Barnet,
327,E01000290,Barnet 007F,E05013644,High Barnet,,E09000003,Barnet,
328,E01000291,Barnet 004E,E05013647,Underhill,,E09000003,Barnet,
329,E01000292,Barnet 001E,E05013647,Underhill,,E09000003,Barnet,
330,E01000293,Barnet 001F,E05013647,Underhill,,E09000003,Barnet,
331,E01000294,Barnet 004F,E05013647,Underhill,,E09000003,Barnet,
332,E01000295,Barnet 023B,E05013648,West Finchley,,E09000003,Barnet,
333,E01000296,Barnet 023C,E05013648,West Finchley,,E09000003,Barnet,
334,E01000297,Barnet 027D,E05013648,West Finchley,,E09000003,Barnet,
335,E01000298,Barnet 023D,E05013648,West Finchley,,E09000003,Barnet,
336,E01000299,Barnet 019A,E05013648,West Finchley,,E09000003,Barnet,
337,E01000300,Barnet 019B,E05013648,West Finchley,,E09000003,Barnet,
338,E01000301,Barnet 020C,E05013648,West Finchley,,E09000003,Barnet,
339,E01000302,Barnet 019C,E05013648,West Finchley,,E09000003,Barnet,
340,E01000303,Barnet 020D,E05013648,West Finchley,,E09000003,Barnet,
341,E01000304,Barnet 020E,E05013639,Finchley Church End,,E09000003,Barnet,
342,E01000305,Barnet 036B,E05013649,West Hendon,,E09000003,Barnet,
343,E01000306,Barnet 036C,E05013649,West Hendon,,E09000003,Barnet,
344,E01000307,Barnet 039D,E05013649,West Hendon,,E09000003,Barnet,
345,E01000308,Barnet 036D,E05013649,West Hendon,,E09000003,Barnet,
346,E01000309,Barnet 031D,E05013649,West Hendon,,E09000003,Barnet,
347,E01000310,Barnet 034C,E05013649,West Hendon,,E09000003,Barnet,
348,E01000311,Barnet 034D,E05013643,Hendon,,E09000003,Barnet,
349,E01000312,Barnet 036E,E05013649,West Hendon,,E09000003,Barnet,
350,E01000313,Barnet 036F,E05013649,West Hendon,,E09000003,Barnet,
31666,E01033911,Barnet 017E,E05013645,Mill Hill,,E09000003,Barnet,
31673,E01033912,Barnet 017F,E05013646,Totteridge & Woodside,,E09000003,Barnet,
31680,E01033913,Barnet 024G,E05013630,Burnt Oak,,E09000003,Barnet,
31689,E01033914,Barnet 024H,E05013630,Burnt Oak,,E09000003,Barnet,
31692,E01033915,Barnet 042A,E05013633,Colindale South,,E09000003,Barnet,
31695,E01033916,Barnet 042B,E05013632,Colindale North,,E09000003,Barnet,
31702,E01033917,Barnet 042C,E05013633,Colindale South,,E09000003,Barnet,
31709,E01033918,Barnet 042D,E05013633,Colindale South,,E09000003,Barnet,
31716,E01033919,Barnet 042E,E05013633,Colindale South,,E09000003,Barnet,
31723,E01033920,Barnet 042F,E05013633,Colindale South,,E09000003,Barnet,
31809,E01033921,Barnet 043A,E05013633,Colindale South,,E09000003,Barnet,
31849,E01033922,Barnet 043B,E05013633,Colindale South,,E09000003,Barnet,
31853,E01033923,Barnet 043C,E05013633,Colindale South,,E09000003,Barnet,
31854,E01033924,Barnet 043D,E05013633,Colindale South,,E09000003,Barnet,
31856,E01033925,Barnet 043E,E05013633,Colindale South,,E09000003,Barnet,
